event_id,case_id,event_type,event_timestamp,event_description
EVT-000281,CASE-00129,case_opened,2026-02-28 00:00:00,Case opened following signal threshold breach.
EVT-000282,CASE-00129,evidence_collected,2026-03-01 01:23:41,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000283,CASE-00129,resolved,2026-03-02 00:00:00,Investigation concluded; action taken on account.
EVT-000284,CASE-00130,case_opened,2025-12-24 00:00:00,Case opened following signal threshold breach.
EVT-000285,CASE-00130,evidence_collected,2026-02-26 18:43:45,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000286,CASE-00130,escalated,2026-05-16 15:07:51,Case escalated to senior review.
EVT-000287,CASE-00131,case_opened,2026-03-17 00:00:00,Case opened following signal threshold breach.
EVT-000288,CASE-00131,evidence_collected,2026-04-24 19:09:14,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000289,CASE-00131,escalated,2026-05-24 23:31:26,Case escalated to senior review.
EVT-000290,CASE-00132,case_opened,2026-03-10 00:00:00,Case opened following signal threshold breach.
EVT-000291,CASE-00132,evidence_collected,2026-03-16 02:19:52,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000292,CASE-00132,resolved,2026-03-22 00:00:00,Investigation concluded; action taken on account.
EVT-000293,CASE-00133,case_opened,2026-01-11 00:00:00,Case opened following signal threshold breach.
EVT-000294,CASE-00133,evidence_collected,2026-03-29 13:58:26,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000295,CASE-00134,case_opened,2026-02-14 00:00:00,Case opened following signal threshold breach.
EVT-000296,CASE-00134,evidence_collected,2026-02-18 23:37:14,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000297,CASE-00134,resolved,2026-02-25 00:00:00,Investigation concluded; action taken on account.
EVT-000298,CASE-00135,case_opened,2025-12-26 00:00:00,Case opened following signal threshold breach.
EVT-000299,CASE-00135,evidence_collected,2026-02-22 09:10:12,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000300,CASE-00135,escalated,2026-05-23 19:09:29,Case escalated to senior review.
EVT-000301,CASE-00136,case_opened,2026-01-12 00:00:00,Case opened following signal threshold breach.
EVT-000302,CASE-00137,case_opened,2026-03-20 00:00:00,Case opened following signal threshold breach.
EVT-000303,CASE-00137,evidence_collected,2026-05-24 19:24:29,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000304,CASE-00138,case_opened,2026-01-04 00:00:00,Case opened following signal threshold breach.
EVT-000305,CASE-00138,evidence_collected,2026-04-01 02:09:12,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000306,CASE-00138,escalated,2026-04-29 17:40:38,Case escalated to senior review.
EVT-000307,CASE-00139,case_opened,2026-02-08 00:00:00,Case opened following signal threshold breach.
EVT-000308,CASE-00139,evidence_collected,2026-02-12 04:52:40,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000309,CASE-00139,resolved,2026-02-19 00:00:00,Investigation concluded; action taken on account.
EVT-000310,CASE-00140,case_opened,2026-01-22 00:00:00,Case opened following signal threshold breach.
EVT-000311,CASE-00140,evidence_collected,2026-01-29 19:27:01,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000312,CASE-00140,resolved,2026-02-04 00:00:00,Investigation concluded; action taken on account.
EVT-000313,CASE-00141,case_opened,2025-12-15 00:00:00,Case opened following signal threshold breach.
EVT-000314,CASE-00142,case_opened,2026-01-21 00:00:00,Case opened following signal threshold breach.
EVT-000315,CASE-00142,evidence_collected,2026-04-12 02:43:20,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000316,CASE-00142,escalated,2026-04-25 16:36:42,Case escalated to senior review.
EVT-000317,CASE-00143,case_opened,2026-04-02 00:00:00,Case opened following signal threshold breach.
EVT-000318,CASE-00143,evidence_collected,2026-05-01 18:37:13,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000319,CASE-00143,escalated,2026-05-15 02:34:39,Case escalated to senior review.
EVT-000320,CASE-00144,case_opened,2026-04-12 00:00:00,Case opened following signal threshold breach.
EVT-000321,CASE-00144,evidence_collected,2026-05-24 17:05:20,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000322,CASE-00145,case_opened,2026-05-21 00:00:00,Case opened following signal threshold breach.
EVT-000323,CASE-00145,evidence_collected,2026-05-30 10:04:19,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000324,CASE-00146,case_opened,2025-12-27 00:00:00,Case opened following signal threshold breach.
EVT-000325,CASE-00147,case_opened,2026-02-15 00:00:00,Case opened following signal threshold breach.
EVT-000326,CASE-00147,evidence_collected,2026-04-19 17:51:04,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000327,CASE-00148,case_opened,2026-01-26 00:00:00,Case opened following signal threshold breach.
EVT-000328,CASE-00148,evidence_collected,2026-01-27 23:22:02,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000329,CASE-00148,resolved,2026-01-30 00:00:00,Investigation concluded; action taken on account.
EVT-000330,CASE-00149,case_opened,2025-12-16 00:00:00,Case opened following signal threshold breach.
EVT-000331,CASE-00150,case_opened,2026-02-13 00:00:00,Case opened following signal threshold breach.
EVT-000332,CASE-00150,evidence_collected,2026-05-07 03:38:10,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000333,CASE-00151,case_opened,2025-12-05 00:00:00,Case opened following signal threshold breach.
EVT-000334,CASE-00151,evidence_collected,2025-12-05 10:29:46,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000335,CASE-00151,resolved,2025-12-06 00:00:00,Investigation concluded; action taken on account.
EVT-000336,CASE-00152,case_opened,2026-05-01 00:00:00,Case opened following signal threshold breach.
EVT-000337,CASE-00152,evidence_collected,2026-05-02 19:09:02,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000338,CASE-00152,resolved,2026-05-04 00:00:00,Investigation concluded; action taken on account.
EVT-000339,CASE-00153,case_opened,2025-12-13 00:00:00,Case opened following signal threshold breach.
EVT-000340,CASE-00153,evidence_collected,2026-03-04 12:22:26,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000341,CASE-00153,escalated,2026-04-20 14:26:11,Case escalated to senior review.
EVT-000342,CASE-00154,case_opened,2025-12-27 00:00:00,Case opened following signal threshold breach.
EVT-000343,CASE-00154,evidence_collected,2026-01-03 03:31:15,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000344,CASE-00154,resolved,2026-01-10 00:00:00,Investigation concluded; action taken on account.
EVT-000345,CASE-00155,case_opened,2026-04-22 00:00:00,Case opened following signal threshold breach.
EVT-000346,CASE-00155,evidence_collected,2026-04-26 11:46:20,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000347,CASE-00155,resolved,2026-04-30 00:00:00,Investigation concluded; action taken on account.
EVT-000348,CASE-00156,case_opened,2026-03-30 00:00:00,Case opened following signal threshold breach.
EVT-000349,CASE-00156,evidence_collected,2026-04-25 11:30:14,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000350,CASE-00156,escalated,2026-05-18 08:05:02,Case escalated to senior review.
EVT-000351,CASE-00157,case_opened,2025-12-23 00:00:00,Case opened following signal threshold breach.
EVT-000352,CASE-00157,evidence_collected,2026-05-23 16:32:57,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000353,CASE-00158,case_opened,2026-02-09 00:00:00,Case opened following signal threshold breach.
EVT-000354,CASE-00159,case_opened,2026-04-02 00:00:00,Case opened following signal threshold breach.
EVT-000355,CASE-00159,evidence_collected,2026-05-04 09:33:11,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000356,CASE-00159,escalated,2026-05-21 00:13:49,Case escalated to senior review.
EVT-000357,CASE-00160,case_opened,2026-03-12 00:00:00,Case opened following signal threshold breach.
EVT-000358,CASE-00161,case_opened,2026-04-24 00:00:00,Case opened following signal threshold breach.
EVT-000359,CASE-00161,evidence_collected,2026-05-22 18:24:42,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000360,CASE-00162,case_opened,2025-12-06 00:00:00,Case opened following signal threshold breach.
EVT-000361,CASE-00162,evidence_collected,2026-03-21 22:00:37,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000362,CASE-00163,case_opened,2026-05-16 00:00:00,Case opened following signal threshold breach.
EVT-000363,CASE-00163,evidence_collected,2026-05-18 23:39:59,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000364,CASE-00163,resolved,2026-05-23 00:00:00,Investigation concluded; action taken on account.
EVT-000365,CASE-00164,case_opened,2026-01-14 00:00:00,Case opened following signal threshold breach.
EVT-000366,CASE-00164,evidence_collected,2026-01-17 04:44:46,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000367,CASE-00164,resolved,2026-01-21 00:00:00,Investigation concluded; action taken on account.
EVT-000368,CASE-00165,case_opened,2026-04-10 00:00:00,Case opened following signal threshold breach.
EVT-000369,CASE-00165,evidence_collected,2026-04-13 15:57:22,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000370,CASE-00165,resolved,2026-04-17 00:00:00,Investigation concluded; action taken on account.
EVT-000371,CASE-00166,case_opened,2026-01-05 00:00:00,Case opened following signal threshold breach.
EVT-000372,CASE-00166,evidence_collected,2026-01-08 10:10:54,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000373,CASE-00166,resolved,2026-01-13 00:00:00,Investigation concluded; action taken on account.
EVT-000374,CASE-00167,case_opened,2026-03-03 00:00:00,Case opened following signal threshold breach.
EVT-000375,CASE-00167,evidence_collected,2026-04-10 06:50:42,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000376,CASE-00167,escalated,2026-05-06 16:53:31,Case escalated to senior review.
EVT-000377,CASE-00168,case_opened,2026-02-14 00:00:00,Case opened following signal threshold breach.
EVT-000378,CASE-00168,evidence_collected,2026-05-10 20:40:08,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000379,CASE-00169,case_opened,2026-04-06 00:00:00,Case opened following signal threshold breach.
EVT-000380,CASE-00169,evidence_collected,2026-04-29 22:51:09,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000381,CASE-00169,escalated,2026-05-28 17:18:09,Case escalated to senior review.
EVT-000382,CASE-00170,case_opened,2026-01-28 00:00:00,Case opened following signal threshold breach.
EVT-000383,CASE-00171,case_opened,2026-03-07 00:00:00,Case opened following signal threshold breach.
EVT-000384,CASE-00171,evidence_collected,2026-03-14 03:37:11,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000385,CASE-00171,resolved,2026-03-19 00:00:00,Investigation concluded; action taken on account.
EVT-000386,CASE-00172,case_opened,2026-02-02 00:00:00,Case opened following signal threshold breach.
EVT-000387,CASE-00172,evidence_collected,2026-04-11 19:44:50,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000388,CASE-00173,case_opened,2026-02-21 00:00:00,Case opened following signal threshold breach.
EVT-000389,CASE-00174,case_opened,2026-04-28 00:00:00,Case opened following signal threshold breach.
EVT-000390,CASE-00174,evidence_collected,2026-04-29 06:58:10,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000391,CASE-00174,resolved,2026-05-01 00:00:00,Investigation concluded; action taken on account.
EVT-000392,CASE-00175,case_opened,2026-02-24 00:00:00,Case opened following signal threshold breach.
EVT-000393,CASE-00175,evidence_collected,2026-04-17 20:54:05,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000394,CASE-00175,escalated,2026-05-08 10:35:53,Case escalated to senior review.
EVT-000395,CASE-00176,case_opened,2026-03-10 00:00:00,Case opened following signal threshold breach.
EVT-000396,CASE-00176,evidence_collected,2026-04-12 08:41:02,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000397,CASE-00176,escalated,2026-05-27 19:20:42,Case escalated to senior review.
EVT-000398,CASE-00177,case_opened,2026-02-14 00:00:00,Case opened following signal threshold breach.
EVT-000399,CASE-00177,evidence_collected,2026-04-10 12:39:01,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000400,CASE-00177,escalated,2026-05-13 09:17:06,Case escalated to senior review.
EVT-000401,CASE-00178,case_opened,2026-05-28 00:00:00,Case opened following signal threshold breach.
EVT-000402,CASE-00179,case_opened,2025-12-17 00:00:00,Case opened following signal threshold breach.
EVT-000403,CASE-00180,case_opened,2026-05-25 00:00:00,Case opened following signal threshold breach.
EVT-000404,CASE-00180,evidence_collected,2026-05-31 01:07:35,"Evidence gathered from account comments, reports, and campaign linkage."
